id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
43a09b81a11f111ebabda0242ac110010,justice,event,arrest_jail,1602425700,event
43a09bc0211f111ebabda0242ac110010,movement,event,transport,1602425700,event
430b634a11f111ebabda0242ac110010,movement,event,transport,1602385680,event
430bdf9611f111ebabda0242ac110010,conflict,event,attack,1602428820,event
430c6a6011f111ebabda0242ac110010,contact,event,phone_write,1602393720,event
430c6e9811f111ebabda0242ac110010,personnel,event,end_position,1602393720,event
430c70dc11f111ebabda0242ac110010,justice,event,arrest_jail,1602393720,event
430c741011f111ebabda0242ac110010,justice,event,arrest_jail,1602393720,event
430c75e611f111ebabda0242ac110010,justice,event,arrest_jail,1602393720,event
430c791a11f111ebabda0242ac110010,justice,event,arrest_jail,1602393720,event
430d85c611f111ebabda0242ac110010,movement,event,transport,1602361445,event
430f99f611f111ebabda0242ac110010,movement,event,transport,1602420323,event
430f9e6011f111ebabda0242ac110010,movement,event,transport,1602420323,event
430fa08611f111ebabda0242ac110010,business,event,start_org,1602420323,event
4314d5ba11f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314d98e11f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314db6e11f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314dcb811f111ebabda0242ac110010,justice,event,trial_hearing,1602374880,event
4314de1611f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314df4211f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314e2da11f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314e4a611f111ebabda0242ac110010,movement,event,transport,1602374880,event
4314e6fe11f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314e86611f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314ebc211f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314ed0211f111ebabda0242ac110010,conflict,event,attack,1602374880,event
4314ee3811f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314f0a411f111ebabda0242ac110010,movement,event,transport,1602374880,event
4314f1e411f111ebabda0242ac110010,justice,event,arrest_jail,1602374880,event
4314f3ec11f111ebabda0242ac110010,movement,event,transport,1602374880,event
4314f5ea11f111ebabda0242ac110010,personnel,event,end_position,1602374880,event
4314f7de11f111ebabda0242ac110010,movement,event,transport,1602374880,event
4314fa5411f111ebabda0242ac110010,transaction,event,transfer_money,1602374880,event
4314fe1411f111ebabda0242ac110010,justice,event,charge_indict,1602374880,event
43164b1611f111ebabda0242ac110010,movement,event,transport,1602400800,event
43183d5e11f111ebabda0242ac110010,movement,event,transport,1602423720,event
